Amounts,HLA,Type
597,HLA-A02:01,cin
260,HLA-A24:02,cin
328,HLA-A11:01,cin
259,HLA-A03:01,cin
55,HLA-A01:01,cin
201,HLA-A23:01,cin
285,HLA-A33:03,cin
668,HLA-A30:01,cin
51,HLA-A26:01,cin
597,HLA-A02:07,cin
668,HLA-A30:02,cin
651,HLA-A68:02,cin
651,HLA-A68:01,cin
501,HLA-A31:01,cin
301,HLA-A29:02,cin
597,HLA-A02:03,cin
3689,HLA-A74:01,cin
369,HLA-A32:01,cin
597,HLA-A02:06,cin
597,HLA-A02:02,cin
70,HLA-A25:01,cin
597,HLA-A34:02,cin
597,HLA-A02:05,cin
285,HLA-A33:01,cin
65,HLA-A66:01,cin
597,HLA-A36:01,cin
328,HLA-A11:02,cin
260,HLA-A24:07,cin
301,HLA-A29:01,cin
65,HLA-A66:02,cin
59,HLA-A80:01,cin
668,HLA-A30:04,cin
55,HLA-A01:02,cin
597,HLA-A34:01,cin
51,HLA-A26:02,cin
51,HLA-A26:03,cin
260,HLA-A24:03,cin
259,HLA-A03:02,cin
237,HLA-B07:02,cin
560,HLA-B15:01,cin
175,HLA-B40:01,cin
305,HLA-B35:01,cin
399,HLA-B08:01,cin
146,HLA-B53:01,cin
55,HLA-B51:01,cin
117,HLA-B44:03,cin
154,HLA-B18:01,cin
273,HLA-B58:01,cin
175,HLA-B40:02,cin
117,HLA-B44:02,cin
29,HLA-B46:01,cin
560,HLA-B15:03,cin
237,HLA-B13:02,cin
560,HLA-B15:02,cin
235,HLA-B45:01,cin
449,HLA-B42:01,cin
3843,HLA-B52:01,cin
180,HLA-B27:05,cin
273,HLA-B58:02,cin
237,HLA-B49:01,cin
237,HLA-B13:01,cin
122,HLA-B57:01,cin
184,HLA-B14:02,cin
196,HLA-B39:01,cin
122,HLA-B57:03,cin
305,HLA-B35:03,cin
37,HLA-B38:01,cin
560,HLA-B15:10,cin
210,HLA-B54:01,cin
366,HLA-B37:01,cin
237,HLA-B56:01,cin
560,HLA-B15:18,cin
37,HLA-B38:02,cin
121,HLA-B48:01,cin
285,HLA-B55:02,cin
6784,HLA-B81:01,cin
237,HLA-B50:01,cin
285,HLA-B55:01,cin
237,HLA-B41:02,cin
237,HLA-B07:05,cin
175,HLA-B40:06,cin
184,HLA-B14:01,cin
560,HLA-B15:25,cin
180,HLA-B27:02,cin
560,HLA-B15:11,cin
560,HLA-B15:16,cin
305,HLA-B35:02,cin
180,HLA-B27:04,cin
237,HLA-B41:01,cin
237,HLA-B78:01,cin
560,HLA-B15:17,cin
117,HLA-B44:05,cin
560,HLA-B15:32,cin
305,HLA-B35:05,cin
449,HLA-B42:02,cin
122,HLA-B57:02,cin
305,HLA-B35:08,cin
196,HLA-B39:06,cin
237,HLA-B47:01,cin
560,HLA-B15:07,cin
196,HLA-B39:10,cin
55,HLA-B51:02,cin
560,HLA-B15:27,cin
180,HLA-B27:03,cin
237,HLA-B67:01,cin
154,HLA-B18:03,cin
184,HLA-B14:03,cin
117,HLA-B44:10,cin
237,HLA-B59:01,cin
237,HLA-B07:04,cin
55,HLA-B51:07,cin
560,HLA-B15:05,cin
560,HLA-B15:08,cin
175,HLA-B40:12,cin
237,HLA-B47:03,cin
121,HLA-B48:03,cin
122,HLA-B57:04,cin
237,HLA-B82:01,cin
55,HLA-B51:08,cin
345,HLA-C07:02,cin
39,HLA-C04:01,cin
345,HLA-C07:01,cin
577,HLA-C06:02,cin
1329,HLA-C03:04,cin
39,HLA-C01:02,cin
39,HLA-C02:02,cin
1329,HLA-C03:03,cin
39,HLA-C16:01,cin
5423,HLA-C12:03,cin
2965,HLA-C08:01,cin
1117,HLA-C05:01,cin
39,HLA-C17:01,cin
1329,HLA-C03:02,cin
2965,HLA-C08:02,cin
5423,HLA-C12:02,cin
2775,HLA-C14:02,cin
639,HLA-C15:02,cin
345,HLA-C07:04,cin
39,HLA-C18:01,cin
2775,HLA-C14:03,cin
39,HLA-C04:03,cin
639,HLA-C15:05,cin
2965,HLA-C08:04,cin
39,HLA-C02:10,cin
2965,HLA-C08:03,cin
