Amounts,HLA,Type
135,HLA-A02:01,ebv
60,HLA-A24:02,ebv
74,HLA-A11:01,ebv
36,HLA-A03:01,ebv
24,HLA-A01:01,ebv
44,HLA-A23:01,ebv
55,HLA-A33:03,ebv
105,HLA-A30:01,ebv
11,HLA-A26:01,ebv
135,HLA-A02:07,ebv
105,HLA-A30:02,ebv
109,HLA-A68:02,ebv
109,HLA-A68:01,ebv
84,HLA-A31:01,ebv
68,HLA-A29:02,ebv
135,HLA-A02:03,ebv
763,HLA-A74:01,ebv
63,HLA-A32:01,ebv
135,HLA-A02:06,ebv
135,HLA-A02:02,ebv
16,HLA-A25:01,ebv
135,HLA-A34:02,ebv
135,HLA-A02:05,ebv
55,HLA-A33:01,ebv
16,HLA-A66:01,ebv
135,HLA-A36:01,ebv
74,HLA-A11:02,ebv
60,HLA-A24:07,ebv
68,HLA-A29:01,ebv
16,HLA-A66:02,ebv
22,HLA-A80:01,ebv
105,HLA-A30:04,ebv
24,HLA-A01:02,ebv
135,HLA-A34:01,ebv
11,HLA-A26:02,ebv
11,HLA-A26:03,ebv
60,HLA-A24:03,ebv
36,HLA-A03:02,ebv
37,HLA-B07:02,ebv
126,HLA-B15:01,ebv
31,HLA-B40:01,ebv
62,HLA-B35:01,ebv
82,HLA-B08:01,ebv
22,HLA-B53:01,ebv
9,HLA-B51:01,ebv
26,HLA-B44:03,ebv
32,HLA-B18:01,ebv
42,HLA-B58:01,ebv
31,HLA-B40:02,ebv
26,HLA-B44:02,ebv
4,HLA-B46:01,ebv
126,HLA-B15:03,ebv
37,HLA-B13:02,ebv
126,HLA-B15:02,ebv
45,HLA-B45:01,ebv
74,HLA-B42:01,ebv
838,HLA-B52:01,ebv
48,HLA-B27:05,ebv
42,HLA-B58:02,ebv
37,HLA-B49:01,ebv
37,HLA-B13:01,ebv
12,HLA-B57:01,ebv
36,HLA-B14:02,ebv
55,HLA-B39:01,ebv
12,HLA-B57:03,ebv
62,HLA-B35:03,ebv
8,HLA-B38:01,ebv
126,HLA-B15:10,ebv
56,HLA-B54:01,ebv
84,HLA-B37:01,ebv
37,HLA-B56:01,ebv
126,HLA-B15:18,ebv
8,HLA-B38:02,ebv
17,HLA-B48:01,ebv
52,HLA-B55:02,ebv
1491,HLA-B81:01,ebv
37,HLA-B50:01,ebv
52,HLA-B55:01,ebv
37,HLA-B41:02,ebv
37,HLA-B07:05,ebv
31,HLA-B40:06,ebv
36,HLA-B14:01,ebv
126,HLA-B15:25,ebv
48,HLA-B27:02,ebv
126,HLA-B15:11,ebv
126,HLA-B15:16,ebv
62,HLA-B35:02,ebv
48,HLA-B27:04,ebv
37,HLA-B41:01,ebv
37,HLA-B78:01,ebv
126,HLA-B15:17,ebv
26,HLA-B44:05,ebv
126,HLA-B15:32,ebv
62,HLA-B35:05,ebv
74,HLA-B42:02,ebv
12,HLA-B57:02,ebv
62,HLA-B35:08,ebv
55,HLA-B39:06,ebv
37,HLA-B47:01,ebv
126,HLA-B15:07,ebv
55,HLA-B39:10,ebv
9,HLA-B51:02,ebv
126,HLA-B15:27,ebv
48,HLA-B27:03,ebv
37,HLA-B67:01,ebv
32,HLA-B18:03,ebv
36,HLA-B14:03,ebv
26,HLA-B44:10,ebv
37,HLA-B59:01,ebv
37,HLA-B07:04,ebv
9,HLA-B51:07,ebv
126,HLA-B15:05,ebv
126,HLA-B15:08,ebv
31,HLA-B40:12,ebv
37,HLA-B47:03,ebv
17,HLA-B48:03,ebv
12,HLA-B57:04,ebv
37,HLA-B82:01,ebv
9,HLA-B51:08,ebv
86,HLA-C07:02,ebv
13,HLA-C04:01,ebv
86,HLA-C07:01,ebv
122,HLA-C06:02,ebv
280,HLA-C03:04,ebv
13,HLA-C01:02,ebv
13,HLA-C02:02,ebv
280,HLA-C03:03,ebv
13,HLA-C16:01,ebv
1149,HLA-C12:03,ebv
647,HLA-C08:01,ebv
259,HLA-C05:01,ebv
13,HLA-C17:01,ebv
280,HLA-C03:02,ebv
647,HLA-C08:02,ebv
1149,HLA-C12:02,ebv
537,HLA-C14:02,ebv
120,HLA-C15:02,ebv
86,HLA-C07:04,ebv
13,HLA-C18:01,ebv
537,HLA-C14:03,ebv
13,HLA-C04:03,ebv
120,HLA-C15:05,ebv
647,HLA-C08:04,ebv
13,HLA-C02:10,ebv
647,HLA-C08:03,ebv
