Amounts,HLA,Type
124,HLA-A02:01,gs
49,HLA-A24:02,gs
67,HLA-A11:01,gs
41,HLA-A03:01,gs
14,HLA-A01:01,gs
41,HLA-A23:01,gs
60,HLA-A33:03,gs
131,HLA-A30:01,gs
8,HLA-A26:01,gs
124,HLA-A02:07,gs
131,HLA-A30:02,gs
137,HLA-A68:02,gs
137,HLA-A68:01,gs
98,HLA-A31:01,gs
57,HLA-A29:02,gs
124,HLA-A02:03,gs
798,HLA-A74:01,gs
86,HLA-A32:01,gs
124,HLA-A02:06,gs
124,HLA-A02:02,gs
16,HLA-A25:01,gs
124,HLA-A34:02,gs
124,HLA-A02:05,gs
60,HLA-A33:01,gs
19,HLA-A66:01,gs
124,HLA-A36:01,gs
67,HLA-A11:02,gs
49,HLA-A24:07,gs
57,HLA-A29:01,gs
19,HLA-A66:02,gs
18,HLA-A80:01,gs
131,HLA-A30:04,gs
14,HLA-A01:02,gs
124,HLA-A34:01,gs
8,HLA-A26:02,gs
8,HLA-A26:03,gs
49,HLA-A24:03,gs
41,HLA-A03:02,gs
58,HLA-B07:02,gs
148,HLA-B15:01,gs
31,HLA-B40:01,gs
58,HLA-B35:01,gs
97,HLA-B08:01,gs
22,HLA-B53:01,gs
10,HLA-B51:01,gs
20,HLA-B44:03,gs
28,HLA-B18:01,gs
79,HLA-B58:01,gs
31,HLA-B40:02,gs
20,HLA-B44:02,gs
5,HLA-B46:01,gs
148,HLA-B15:03,gs
58,HLA-B13:02,gs
148,HLA-B15:02,gs
44,HLA-B45:01,gs
103,HLA-B42:01,gs
882,HLA-B52:01,gs
57,HLA-B27:05,gs
79,HLA-B58:02,gs
58,HLA-B49:01,gs
58,HLA-B13:01,gs
39,HLA-B57:01,gs
62,HLA-B14:02,gs
50,HLA-B39:01,gs
39,HLA-B57:03,gs
58,HLA-B35:03,gs
14,HLA-B38:01,gs
148,HLA-B15:10,gs
37,HLA-B54:01,gs
86,HLA-B37:01,gs
58,HLA-B56:01,gs
148,HLA-B15:18,gs
14,HLA-B38:02,gs
27,HLA-B48:01,gs
73,HLA-B55:02,gs
1547,HLA-B81:01,gs
58,HLA-B50:01,gs
73,HLA-B55:01,gs
58,HLA-B41:02,gs
58,HLA-B07:05,gs
31,HLA-B40:06,gs
62,HLA-B14:01,gs
148,HLA-B15:25,gs
57,HLA-B27:02,gs
148,HLA-B15:11,gs
148,HLA-B15:16,gs
58,HLA-B35:02,gs
57,HLA-B27:04,gs
58,HLA-B41:01,gs
58,HLA-B78:01,gs
148,HLA-B15:17,gs
20,HLA-B44:05,gs
148,HLA-B15:32,gs
58,HLA-B35:05,gs
103,HLA-B42:02,gs
39,HLA-B57:02,gs
58,HLA-B35:08,gs
50,HLA-B39:06,gs
58,HLA-B47:01,gs
148,HLA-B15:07,gs
50,HLA-B39:10,gs
10,HLA-B51:02,gs
148,HLA-B15:27,gs
57,HLA-B27:03,gs
58,HLA-B67:01,gs
28,HLA-B18:03,gs
62,HLA-B14:03,gs
20,HLA-B44:10,gs
58,HLA-B59:01,gs
58,HLA-B07:04,gs
10,HLA-B51:07,gs
148,HLA-B15:05,gs
148,HLA-B15:08,gs
31,HLA-B40:12,gs
58,HLA-B47:03,gs
27,HLA-B48:03,gs
39,HLA-B57:04,gs
58,HLA-B82:01,gs
10,HLA-B51:08,gs
74,HLA-C07:02,gs
8,HLA-C04:01,gs
74,HLA-C07:01,gs
140,HLA-C06:02,gs
265,HLA-C03:04,gs
8,HLA-C01:02,gs
8,HLA-C02:02,gs
265,HLA-C03:03,gs
8,HLA-C16:01,gs
1198,HLA-C12:03,gs
677,HLA-C08:01,gs
263,HLA-C05:01,gs
8,HLA-C17:01,gs
265,HLA-C03:02,gs
677,HLA-C08:02,gs
1198,HLA-C12:02,gs
626,HLA-C14:02,gs
163,HLA-C15:02,gs
74,HLA-C07:04,gs
8,HLA-C18:01,gs
626,HLA-C14:03,gs
8,HLA-C04:03,gs
163,HLA-C15:05,gs
677,HLA-C08:04,gs
8,HLA-C02:10,gs
677,HLA-C08:03,gs
