lines,tumor_type,qualified
68,CIN,NO
328,CIN,NO
70,CIN,NO
130,CIN,NO
52,CIN,NO
356,CIN,NO
194,CIN,NO
246,CIN,NO
214,CIN,NO
62,CIN,NO
40,CIN,NO
200,CIN,NO
260,CIN,NO
200,CIN,NO
236,CIN,NO
204,CIN,NO
216,CIN,NO
236,CIN,NO
140,CIN,NO
176,CIN,NO
268,CIN,NO
186,CIN,NO
324,CIN,NO
72,CIN,NO
116,CIN,NO
430,CIN,NO
46,CIN,NO
304,CIN,NO
120,CIN,NO
180,CIN,NO
112,CIN,NO
514,CIN,NO
370,CIN,NO
178,CIN,NO
228,CIN,NO
96,CIN,NO
218,CIN,NO
278,CIN,NO
216,CIN,NO
128,CIN,NO
140,CIN,NO
256,CIN,NO
80,CIN,NO
244,CIN,NO
212,CIN,NO
80,CIN,NO
126,CIN,NO
240,CIN,NO
330,CIN,NO
174,CIN,NO
194,CIN,NO
54,CIN,NO
262,CIN,NO
76,CIN,NO
116,CIN,NO
228,CIN,NO
114,CIN,NO
86,CIN,NO
358,CIN,NO
156,CIN,NO
116,CIN,NO
90,CIN,NO
368,CIN,NO
150,CIN,NO
282,CIN,NO
110,CIN,NO
354,CIN,NO
318,CIN,NO
104,CIN,NO
160,CIN,NO
70,CIN,NO
100,CIN,NO
244,CIN,NO
212,CIN,NO
206,CIN,NO
164,CIN,NO
146,CIN,NO
228,CIN,NO
144,CIN,NO
60,CIN,NO
282,CIN,NO
78,CIN,NO
182,CIN,NO
234,CIN,NO
114,CIN,NO
90,CIN,NO
144,CIN,NO
212,CIN,NO
66,CIN,NO
328,CIN,NO
216,CIN,NO
112,CIN,NO
84,CIN,NO
84,CIN,NO
114,CIN,NO
234,CIN,NO
320,CIN,NO
306,CIN,NO
182,CIN,NO
124,CIN,NO
262,CIN,NO
104,CIN,NO
386,CIN,NO
78,CIN,NO
72,CIN,NO
82,CIN,NO
392,CIN,NO
324,CIN,NO
108,CIN,NO
256,CIN,NO
276,CIN,NO
134,CIN,NO
78,CIN,NO
350,CIN,NO
206,CIN,NO
156,CIN,NO
134,CIN,NO
154,CIN,NO
138,CIN,NO
130,CIN,NO
190,CIN,NO
94,CIN,NO
222,CIN,NO
316,CIN,NO
88,CIN,NO
192,CIN,NO
126,CIN,NO
218,CIN,NO
282,CIN,NO
274,CIN,NO
412,CIN,NO
176,CIN,NO
268,CIN,NO
98,CIN,NO
152,CIN,NO
180,CIN,NO
232,CIN,NO
158,CIN,NO
12.921,CIN,YES
42.201,CIN,YES
8.746,CIN,YES
21.887,CIN,YES
6.399,CIN,YES
51.962,CIN,YES
21.998,CIN,YES
25.165,CIN,YES
30.384,CIN,YES
5.823,CIN,YES
3.511,CIN,YES
31.024,CIN,YES
36.6,CIN,YES
25.751,CIN,YES
30.411,CIN,YES
27.897,CIN,YES
31.892,CIN,YES
26.823,CIN,YES
22.171,CIN,YES
21.41,CIN,YES
36.181,CIN,YES
22.117,CIN,YES
42.601,CIN,YES
9.562,CIN,YES
